Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
116570;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
120601;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
122162;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
122843;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
124805;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
126802;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
130105;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
131275;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
133662;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
134692;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
136368;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
137663;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
139012;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
139657;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
141764;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
142084;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
142673;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
143257;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
145134;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
145362;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
145928;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
146384;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
148593;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
149331;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
151215;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
151616;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
152953;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
153745;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
153971;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
153988;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
154811;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
155976;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
156486;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
156961;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
157258;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
157915;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
159484;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
159518;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
163524;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
164562;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
164575;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
165573;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
166384;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
166765;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
168107;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
168116;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
170427;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
170682;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
173008;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
173130;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
173955;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
174410;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
175020;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
176434;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
176961;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
177632;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
178017;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
178952;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
181919;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
182214;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
183528;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
184332;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
184949;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
185750;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
185903;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
187082;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
188079;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
188975;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
190048;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
192007;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
193772;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
194696;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
195471;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
197974;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
198920;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
