Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
116991;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
120430;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
123555;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
123849;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
125566;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
126825;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
127978;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
130441;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
134587;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
136438;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
136782;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
138591;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
140474;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
142603;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
144152;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
147128;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
147976;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
151422;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
153564;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
154003;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
154724;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
155077;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
156210;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
158010;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
159256;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
163380;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
167347;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
168291;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
