Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
15587;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
21290;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25010;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25062;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25508;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25678;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25956;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26387;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26548;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27379;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28015;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29280;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29669;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30036;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30176;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30839;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31393;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32260;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32880;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33040;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
33162;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35199;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37860;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38482;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41416;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
