Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
13802;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
14963;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
15805;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
16458;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
17539;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
19216;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
20332;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
21436;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
22266;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
23368;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25191;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25278;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25364;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25536;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25568;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25665;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25698;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26060;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26095;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26113;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
26192;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26451;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26465;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26565;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26588;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26820;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26917;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27053;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27180;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
27242;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27360;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27488;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27682;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27963;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27981;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
28052;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28118;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28175;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28183;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28211;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28215;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28310;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28442;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28516;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28550;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28619;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28719;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28727;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
