Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
115398;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
115404;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
115780;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
116026;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
116383;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
116543;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
117070;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
117140;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
117308;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
117621;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
117696;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
117797;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
118066;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
118391;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
118880;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
119269;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
119434;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
119524;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
119843;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
120926;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
121388;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
121833;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
122083;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
122490;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
123038;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
123582;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
124045;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
124283;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
124530;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
124910;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
125354;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
125639;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
126003;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
126399;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
127310;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
127575;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
127646;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
127968;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
128063;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
128393;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
128419;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
128942;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
129073;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
129364;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
129798;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
130059;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
130231;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
130527;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
130742;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
130983;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
131380;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
131799;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
132434;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
132639;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
133239;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
133711;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
133921;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
134034;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
134186;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
134729;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
135330;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
135566;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
135768;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
136356;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
136850;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
137440;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
137953;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
138073;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
138873;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
139373;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
140228;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
140413;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
140575;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
140909;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
141171;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
141340;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
142032;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
