Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
15007;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
16085;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
20431;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
22735;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
24272;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25921;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25928;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26171;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26344;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26374;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26632;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27073;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27102;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27365;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27420;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27552;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27596;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27662;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27749;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27837;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27936;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
27967;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28261;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28292;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28468;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28915;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29194;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29650;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
30223;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30647;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30855;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31264;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
31506;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31661;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31794;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32851;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33021;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33130;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33173;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33263;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33346;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
33416;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33587;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33723;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34139;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34791;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35142;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
35428;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35460;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35663;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35956;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36165;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36292;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36407;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36445;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36474;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36775;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36950;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36988;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
37142;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37151;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37153;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37743;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37901;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38058;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38248;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38428;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38677;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38822;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38974;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39108;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39529;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39739;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39867;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
40245;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40287;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40452;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40494;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40546;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40658;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41062;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41386;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41758;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42054;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42123;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
