Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
14296;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
16361;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
17963;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
20686;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
22989;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
24520;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25153;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25164;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25423;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25492;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25679;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25883;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
26015;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26337;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26583;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26725;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26864;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26869;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27007;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27075;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27405;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28256;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28461;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28628;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28790;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28943;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29009;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
